cost
-124.0
-101.0
-113.0
-94.0
-149.0
-133.0
-145.0
-115.0
-139.0
-125.0
-117.0
-129.0
-135.0
-120.0
-129.0
-153.0
-136.0
-138.0
-120.0
-151.0
-146.0
-146.0
-140.0
-134.0
-134.0
-128.0
-103.0
-101.0
-123.0
-105.0
-139.0
-101.0
-100.0
-115.0
-91.0
-135.0
-130.0
-137.0
-121.0
-128.0
-146.0
-163.0
-124.0
-121.0
-143.0
-139.0
-137.0
-129.0
-118.0
-117.0
